"Line Number","Original Tamil Text","Transliterated Text","English Translation","Themes","Imagery","Literary Devices"
"1","நாம் நகை உடையம் நெஞ்சே, கடும் தெறல்","Nām nakai uḍaiyam neñcē, kaṭum teṟal","We, with wealth of jewels, our heart, severe thirst","Wealth, Thirst","Imagery of hardship","Personification"
"2","வேனில் நீடிய வான் உயர்வழி நாள்","Vēṉil nīṭiya vāṉ uyarvaḻi nāḷ","In harsh summer, on a very high, long path","Harsh summer, Long path","Imagery of harsh conditions","Descriptive"
"3","வறுமை கூரிய மண் நீர்ச் சிறு குளத்","Vaṟumai kūriya maṇ nīṟc siṟu kuḷat","A bull elephant searches for water in a pond muddied with sand","Animal behavior, Hardship","Elephant, Muddy pond","Symbolism"
"4","தொடு குழி மருங்கில் துவ்வாக் கலங்கல்","Toṭu kuḻi maruṅkiḷ tuvvāk kaḷaṅkaḷ","Rubs the mud from it on the tender head of its delicate female","Care, Tenderness","Mud, Elephant family","Metaphor"
"5","கன்றுடை மடப் பிடிக் கயந்தலை மண்ணிச்","Kaṉṟuṭai maṭap piṭik kayantālai maṇṉic","With a calf, plays in the mud himself","Playfulness","Calf, Mud","Imagery"
"6","சேறு கொண்டாடிய வேறுபடு வயக்களிறு","Cēṟu koṇḍāṭiya vēṟupaṭu vayak kaḷiṟu","The strong elephant pulls a kadampam tree’s red-stemmed, white flower cluster","Strength, Nature","Kadampam tree, Flowers","Symbolism"
"7","செங்கோல் வால் இணர் தயங்கத் தீண்டிச்","Ceṅkōl vāḷ iṇar tayangatt tīṇṭic","Rests in the dappled shade near the path","Rest, Shade","Shade, Path","Imagery"
"8","சொரி புறம் உரிஞிய நெறி அயல் மராஅத்து","Soṟi puṟam uriñiya neṟi ayal marā'attu","In the forest, a fearing stag calls his mate","Fear, Communication","Stag, Forest","Personification"
"9","அல்குறு வரி நிழல் அசைஇ, நம்மொடு","Alkuṟu vari niḻal acai i, nammoṭu","The harsh wind moving around the white palm rice bowls","Harsh wind, Rice bowls","Wind, Rice bowls","Descriptive"
"10","தான் வரும் என்ப, தட மென் தோளி,","Tāṉ varum eṉba, taṭa meṉ tōḷi","Those who go on the path created by harsh warriors for their chariot wheels","Warriors, Chariot","Chariot wheels, Path","Imagery"
"11","உறுகண் மழவர் உருள் கீண்டிட்ட","Uṟukaṇ maḻavar urul kīṇṭiṭṭa","White palm rice bowls thrown by those who go","Rice bowls, Travelers","Rice bowls","Symbolism"
"12","ஆறு செல் மாக்கள் சோறு பொதி வெண்குடைக்","Āṟu cel mākkal cōṟu poti veṇkuṭaik","The white bowls from those who go on the path","Rice bowls, Path","White bowls","Imagery"
"13","கணை விசைக் கடு வளி எடுத்தலின், துணை செத்து","Kaṇai vicai kaṭu vaḷi eṭuttalin, tuṇai settu","The harshness of the path taken by the warriors","Harshness, Path","Path, Warriors","Symbolism"
"14","வெருள் ஏறு பயிரும் ஆங்கண்","Veṟuḷ ēṟu payirum āṅkaṇ","The result of their harsh actions is evident in the land","Results, Land","Land","Symbolism"
"15","கரு முக முசுவின் கானத்தானே","Karu muka mucuviṉ kānattāṉē","The face of the land is filled with evidence of harshness","Land, Harshness","Land, Evidence","Imagery"
"16","இரும்பிழி மாரி அழுங்கல் மூதூர்","Irum piḻi māri aḻuṅkaḷ mūthūr","This loud town where liquor flows like rain","Town, Liquor","Loud town, Liquor","Imagery"
"17","விழவு இன்றாயினும் துஞ்சாது ஆகும்","Viḻavu iṉṟāyiṉum tuñcātu āgum","will not sleep even when there are no festivals","Festivals, Sleeplessness","Festivals, Sleep","Descriptive"
"18","மல்லல் ஆவணம் மறுகுடன் மடியின்","Mallal āvaṇam maṟukuṭaṉ maṭiyiṉ","Even if the prosperous markets and streets go to sleep, mother","Markets, Streets, Mother","Markets, Streets","Metaphor"
"19","வல் உரைக் கடும் சொல் அன்னை துஞ்சாள்","Val urai kaṭum col aṉṉai tuñcāḷ","with strong, harsh words does not sleep","Harsh words, Sleeplessness","Harsh words","Imagery"
"20","பிணி கோள் அருஞ்சிறை அன்னை துஞ்சின்","Piṇi kōḷ aruñciṟai aṉṉai tuñciṉ","Even if mother who holds us tight and guards us strictly sleeps","Mother, Protection","Guarding mother","Metaphor"
"21","துஞ்சாக் கண்ணர் காவலர் கடுகுவர்","Tuñcāk kaṇṇaṟ kāvalar kaṭukuvar","the guards who do not sleep move around rapidly","Guards, Vigilance","Guards, Vigilance","Imagery"
"22","இலங்கு வேல் இளையர் துஞ்சின் வை எயிற்று","Ilaṅku vēl iḷaiyar tuñciṉ vai eyiṟṟu","Even if the quick, young men with bright lances sleep","Young men, Lances","Young men, Lances","Descriptive"
"23","வலஞ்சுரித் தோகை ஞாளி மகிழும்","Valañcurit tōkai ñāḷi makiḻum","dogs with sharp teeth and right-curled tails bark","Dogs, Barking","Dogs, Sharp teeth","Imagery"
"24","அரவவாய் ஞமலி மகிழாது மடியின்","Aravavāy ñamali makiḻātu maṭiyiṉ","Even if the loudly barking dogs go to sleep","Dogs, Sleep","Dogs, Sleep","Descriptive"
"25","பகலுரு உறழ நிலவுக் கான்று விசும்பின்","Pakaluru uṟaḻa nilavuk kāṉṟu vicumpiṉ","the wide moon spreads its rays in the sky and it appears like day","Moon, Light","Moon, Sky","Imagery"
"26","அகல்வாய் மண்டிலம் நின்று விரியும்மே","Akalvāy maṇḍilam niṉṟu viṟiyummē","Even if the moon reaches the mountains and there is pitch darkness","Moon, Darkness","Moon, Mountains","Descriptive"
"27","திங்கள் கல் சேர்வு கனை இருள் மடியின்","Tiṅkaḷ kal cērvu kaṇai iruḷ maṭiyiṉ","the house-rat eating, strong-mouthed owls hoot at night when ghouls roam","Owls, Ghouls","Owls, Darkness","Imagery"
"28","இல் எலி வல்சி வல்வாய்க் கூகை","Il eli vaḻci valvāyk kūkai","Even if male owls with round eyes stop hooting and go to sleep quietly","Owls, Sleep","Owls, Sleep","Descriptive"
"29","கழுது வழங்கு யாமத்து அழிதகக் குழறும்","Kaḻutu vaḻaṅku yāmatthu aḻitak kuḻaṟum","the house roosters will crow loudly","Roosters, Crowing","Roosters","Imagery"
"30","வளைக் கண் சேவல் வாளாது மடியின்","Vaḷaik kaṇ cēval vāḷātu maṭiyiṉ","Even if everyone has gone to sleep","Sleep, Absence","Silence","Descriptive"
"31","மனைச் செறி கோழி மாண் குரல் இயம்பும்","Maṉaic ceṟi kōḻi māṇ kuṟal iyampum","the house roosters will crow loudly","Roosters, Crowing","Roosters","Imagery"
"32","எல்லாம் மடிந்த காலை ஒரு நாள்","Eṉṉāṉ maṭinta kālai oru nāḷ","Even if everyone has gone to sleep","Sleep, Absence","General silence","Imagery"
"33","நில்லா நெஞ்சத்து அவர் வாரலரே, அதனால்","Nillā neñcattu avar vāralarē, ataṉāl","He from whom my heart is not away even for a day has not come","Heartache, Longing","Heart, Absence","Metaphor"
"34","அரி பெய் புட்டில் ஆர்ப்பப் பரி சிறந்து","Ari pey puṭṭil āṟppaṉ pari siṟantu","The hindrances that we face, my friend, are like those faced in the rock-filled, mature, protective forests","Hindrances, Challenges","Forests, Obstacles","Simile"
"35","ஆதி போகிய பாய் பரி நன் மா","Āti pōkiya pāy pari ṉaṉ mā","Belonging to king Thithan with swift, fine horses that leap and run straight","Royalty, Strength","King, Horses","Imagery"
"36","நொச்சி வேலித் தித்தன் உறந்தைக்","Nocci vēlit thittaṉ uṟantaik","Wearing pebble-filled anklets on their feet","Detail, Strength","Anklets, Horses","Descriptive"
"37","கல் முதிர் புறங்காட்டன்ன","Kal muttir puṟaṅkāṭṭaṉṉa","In the rock-filled, mature, protective forests of Uranthai city surrounded by walls","Fortification, Protection","Forests, Walls","Imagery"
"38","பல் முட்டின்றால் தோழி, நம் களவே","Pal muṭṭiṉṟāḷ tōḻi, nam kaḷavē","Belonging to king Thithan with swift, fine horses that leap and run straight, wearing pebble-filled anklets on their feet","Obstacles, Friendship","King, Obstacles","Symbolism"
"39","உண்ணாமையின் உயங்கிய மருங்கின்","Uṇṇāmaiyiṉ uyankiya maruṅkiṉ","You are not able to come with me to earn wealth","Wealth, Absence","Wealth","Direct Address"
"40","ஆடாப் படிவத்து ஆன்றோர் போல","Āṭāp paṭivattu āṉṟōr pōla","going on the small path surrounded by mountains, where forest elephant herds that have lost their beauty walk","Path, Forest Elephants","Elephants, Path","Simile"
"41","வரை செறி சிறு நெறி நிரைபுடன் செல்லும்","Varai ceṟi siṟu neṟi niṟaipuṭaṉ cellum","in a row like ascetics who are skinny without eating, who perform rituals without bathing","Ascetics, Rituals","Ascetics, Rituals","Simile"
"42","கான யானை கவின் அழி குன்றம்","Kāṉa yānai kaviṉ aḻi kuṉḍṟam","and afraid of poverty, you are not able to stay home embracing the woman with a lovely, delicate, five-part braid","Poverty, Embracing","Woman, Braid","Metaphor"
"43","இறந்து பொருள் தருதலும் ஆற்றாய், சிறந்த","Iṟantu poruḷ tarutalum āṟṟāy, ciṟanta","You are sad! May you live long, my heart!","Sadness, Longevity","Heart, Longevity","Direct Address"
"44","சில் ஐங்கூந்தல் நல் அகம் பொருந்தி","Cil aiṅkūntal nal akam poruṇṭi","Not choosing one, you sway like the waves of the big ocean that bring shrimp to the shore and return with garlands","Ocean, Shrimp","Ocean, Waves","Simile"
"45","ஒழியின் வறுமை அஞ்சுதி அழிதகவு","Oḻiyiṉ vaṟumai añcudi aḻitakavu","where Kāviri River in which bamboo raft poles disappear enters the ocean","Kāviri River, Ocean","River, Ocean","Descriptive"
"46","உடைமதி, வாழிய நெஞ்சே! நிலவு என","Uḍaimati, vāḻiya neñcē! nilavu eṉa","belonging to the greatly generous Chozha kings owning shields as dark as clouds and long spears rubbed with oil that glitter like the moon","Kings, Shields","Kings, Shields","Imagery"
